source,target,name,comment
I422,I422,,
I444,I444,,
NV12,NV12,,
YUY2,I422,,
UYVY,I422,,
YUY2,NV12,,
UYVY,NV12,,
NV21,NV12,,
I420,I400,,
I420,mirror,,
I400,mirror,,
NV12,mirror,,
ARGB,mirror,,
RGB24,mirror,,
RAW,RGB24,,
I422,YUY2,,
I422,UYVY,,
ARGB,ARGB,planarARGBAttenuate,Convert unattentuated ARGB to preattenuated ARGB
ARGB,ARGB,planarARGBUnattenuate,Convert preattentuated ARGB to unattenuated ARGB
ARGB,ARGB,planarARGBGrayTo,Convert ARGB to gray scale ARGB
ARGB,ARGB,planarARGBCopyAlpha,Copy Alpha channel of ARGB to alpha of ARGB
ARGB,A,planarARGBExtractAlpha,Extract the alpha channel from ARGB
Y,ARGB,planarARGBCopyYToAlpha,Copy Y channel to Alpha of ARGB
